,Job_title,Company,Location,Salary,Date_of_post,Today_date,Summary,Job_URL
10,Data Engineer,Konfio,"Colonia Polanco, CDMX",None,3,2020-11-22,"The Data Engineer will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data…",https://mx.indeed.com/rc/clk?jk=d4a861ac9938ed4f&fccid=026893d6a31257b7&vjs=3
11,Data Scientist,Adext,Ciudad de México,None,+30,2020-11-22,Ability to co-develop and provide technical guidance to data scientists on the choice of machine learning approaches. Knowledge of ML (reinforcement learning).,https://mx.indeed.com/rc/clk?jk=4290bd42e73340fa&fccid=2b33a8cec62968a1&vjs=3
12,"Principal, Applied Math & Statistics Data Scientist",AT&T,"Azcapotzalco, CDMX",None,+30,2020-11-22,"Write and run data extraction algorithms to acquire data from primary or secondary data sources, with the ability to describe and direct data requests for…",https://mx.indeed.com/company/AT&T/jobs/Principal-5a929b1e480a4967?fccid=25b5166547bbf543&vjs=3
13,DATA Scientist - Científico de datos recién egresado,AZKA IT Consulting,"Cuajimalpa, CDMX",None,+30,2020-11-22,"AZKA IT consulting empresa 100% mexicana, dedicada a brindar consultoría especializada en sistemas, desarrollo de soluciones tecnológicas, integración y…",https://mx.indeed.com/rc/clk?jk=5d4c666c2a8a058a&fccid=94f3cd94adaecc73&vjs=3
14,DATA Scientist - Científico de datos experiencia de un año,AZKA IT Consulting,"Cuajimalpa, CDMX",None,+30,2020-11-22,"AZKA IT consulting empresa 100% mexicana, dedicada a brindar consultoría especializada en sistemas, desarrollo de soluciones tecnológicas, integración y…",https://mx.indeed.com/rc/clk?jk=2948ef7416951c0f&fccid=94f3cd94adaecc73&vjs=3
15,Data Science Manager,Teleperformance,"Coyoacán, CDMX","$50,000 - $55,000 al mes",13,2020-11-22,Develop and evolve applications of advanced analytics and predictive modeling by incessantly bringing external best practices and trends into an existing team…,https://mx.indeed.com/company/Teleperformance/jobs/Data-science-manager-1e8683aead11fe83?fccid=02e72612c7c0d1ce&vjs=3
16,Data Scientist con conocimiento en python,"APLICACIONES INTEGRALES EN TI, S.A. DE C.V.","Miguel Hidalgo, CDMX",None,+30,2020-11-22,"Implementación de modelos analíticos avanzados (machine learning, deep learning, etc) en python, R o pyspark. Elaboración de queries optimizados para extracción…",https://mx.indeed.com/rc/clk?jk=c36ffd23be053f82&fccid=7659333f9dc8af4c&vjs=3
17,Data Scientist - Machine Learning Engineer,"Verato, Inc.","Mérida, Yuc.",None,23,2020-11-22,"To do so they apply Big Data, data mining, statistical analysis, and machine learning techniques to our Reference Database, as well as to any new data sources…",https://mx.indeed.com/rc/clk?jk=2b99eaec2d47d7ac&fccid=c0a688beb8a7cf69&vjs=3
18,Senior Data Scientist,Kueski,Desde casa,None,+30,2020-11-22,Mentoring data scientists Jr. (if any) through the support they can give to your projects. The data scientist is responsible for proposing and leading machine…,https://mx.indeed.com/rc/clk?jk=10669096971377c3&fccid=69404b4fd1d4bb12&vjs=3
19,DATA SCIENTIST,Bumeran,"Venustiano Carranza, CDMX",None,+30,2020-11-22,"Trabajo en laboratorios de exploración (data discovery). Empresa Lider en el mercado. Escolaridad: Lic. en Matemáticas, Datos, Ingeniería o carrera afín.",https://mx.indeed.com/rc/clk?jk=2ac6f8d28a27a8bc&fccid=f4ce47cf6f6f15f3&vjs=3
20,Engineer,Aspen Technology,Ciudad de México,None,1 día,2020-11-22,"The driving force behind our success has always been the people of AspenTech. What drives us, is our aspiration, our desire and ambition to keep pushing the…",https://mx.indeed.com/rc/clk?jk=8874ae4885918d04&fccid=b3fc015a7c99e39b&vjs=3
21,Big Data Engineer,Segundamano,"Cuauhtémoc, CDMX",None,18,2020-11-22,Collaborate with stakeholders to ensure availability of data sources and data tools. Do you know what is big data? Do you know what is the internet of things?,https://mx.indeed.com/rc/clk?jk=0b5f57c18256c427&fccid=58000ab63795c5f4&vjs=3
22,Data Scientist,Totum Talent,"Monterrey, N. L.",None,+30,2020-11-22,"Build data visualizations and gather insights from data. Experience with data visualization platforms like matplotlib, seaborn, plotly.",https://mx.indeed.com/rc/clk?jk=2eb6aae96a5e36e8&fccid=96ae6eeb8af402c0&vjs=3
23,Data Scientist - Hadoop,Reclu it,"Coyoacán, CDMX","$50,000 - $55,000 al mes",19,2020-11-22,"Empresa Líder en Tecnologías de la Información con con presencia en México, está en la búsqueda de talento TI como: Hadoop, Hive, Impala, Pig, Sqoop, Oozie.",https://mx.indeed.com/company/ECOSISTEMAS-MEXICO/jobs/Data-scientist-ed06c09187d70af9?fccid=a0aa88c5f340eb82&vjs=3
24,Actuarial Data Scientist,Sofía,"Colonia Roma, CDMX",None,+30,2020-11-22,"En Sofía queremos cambiar la manera en que millones de personas cuidan su salud. Somos un grupo de doctores, matemáticos, ingenieros, diseñadores y creativos…",https://mx.indeed.com/rc/clk?jk=cec3f852cb8afa3b&fccid=8671df700ac9761b&vjs=3
25,Data Scientist,HP,"Guadalajara, Jal.",None,+30,2020-11-22,"Collaborates with peers, junior engineers, data scientists and project team. Fluent in structured and unstructured data and modern data transformation…",https://mx.indeed.com/rc/clk?jk=96fab074552f24f4&fccid=1b866506aec22461&vjs=3
26,Data Engineer Intern,Kueski,"Guadalajara, Jal.",None,3,2020-11-22,"To transport data reliably across all our systems and users for analytical purposes. No matter the size, format and speed of data you will learn to tackle it.",https://mx.indeed.com/rc/clk?jk=3f25bf6dfe7fabdf&fccid=69404b4fd1d4bb12&vjs=3
27,Data Analyst - Growth,PayClip,Ciudad de México,None,3,2020-11-22,"Proficient at collecting and mining data from disparate data sources, and willing to dig deeper and understand the process that creates the data.",https://mx.indeed.com/rc/clk?jk=ba4d1ea13c791654&fccid=04d95284448d6f87&vjs=3
28,Data Scientist/Predictive Sales,HP,"Guadalajara, Jal.",None,+30,2020-11-22,You are passionate about unveiling answers to most difficult questions using data and models. At least 3 years’ working experience in data science using…,https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C4JTuWysBZGWr3ScYyn1q3GP1Wt9Y6KOMkEf9pRAXJOW5S2l207R6JT_dM5z7G6dqJL9NDjIhO_1EL66-4Ue13jmsi0CpfSxaMuafUZrx15QGGX--YRhzNo_SH3RLULaXr2XUrFBspoSQLib8AII7gV3_GnvhBruhgPv5Hy352VJcDl99_-mqWDDJt4xNSj1Zn-4tGIR9QLLHnkrMhyNwXZUE82_nhnW91foswOhlrUoUvzXDhMTWiTj6VzBu8-Tb7xoHBiUjdMK-bPrN77cLh59mmM2VF_wtlNoFsc8nybbJ9BXFdpZBO3VV-OWk90SMTTx5UJd0VxsQPZvUIie70d2fmyOob37yFfmDqXcy3aGPFguGod6BhVq0OfLpHkGx49UZ8wpZarWa9aPR--3j_iwHIwZ1ymxfOofCLLaFUt5pINab7H7riJNIc_sLp_1o1vlcnNOeNSLZb9EsJzlKYDWUiiX3XcNlFEW7v7XzdF-tQoOObhSXcmye86BkVO15LvZ4BqA181Ef9BmxyOc2w-RmjBdzu3Uf9egNPhy2_XcS3tC9lmMT7QVCes68sHZrHwnVoFbKDpFKx2y_ElbmSEQ8T4lsfaP75NW7YsWHRMlmJpfgyqTMbe1ZR1VB0hx_ekFP-tuoW4GK4woNCWGsbuuea7rrJvJBXN5NMBLUkduwwhX32BZniob2gB885dfHLpsiE12-Ip8YmrtUcegq9k2JFvpbIKQBxj5uMsJPZsoDV27L1n_1i_E1eaHPQmNFkAep62jFhaM5ZbjfaIMOUSr5nlywXzR5QF2wjktwR5mX41Ootm35G09reozphf0czCLy9cizdkwzVa4jIpytg47Gmv1bL5O_IhsPJtdeemiOat2HP_jmmBLDxx1QSGVc7eOe6S-yOKea2l_DQ646eb48dJzi38HdcNNZRumFhyu270Fy01avB&p=13&fvj=0&vjs=3
29,Data Scientist / Engineer,iTexico,"Guadalajara, Jal.",None,17,2020-11-22,"General data pipeline principles, including SQL queries and table fundamentals. Apache Spark, with a special emphasis on Spark Streaming if possible.",https://mx.indeed.com/rc/clk?jk=371dbd17a3d4c393&fccid=6e545227e91bab40&vjs=3
30,Data Scientist,Page Group,Edo. de México,None,+30,2020-11-22,Únete a una de las empresas más importantes de tecnología como Data Scientist. Importante empresa dedicada a desarrollar tecnología para diferentes sectores.,https://mx.indeed.com/rc/clk?jk=66ccc481b43941ce&fccid=77087bd1709a8148&vjs=3
31,Data Analyst - Growth,Clip,Ciudad de México,None,+30,2020-11-22,"Proficient at collecting and mining data from disparate data sources, and willing to dig deeper and understand the process that creates the data.",https://mx.indeed.com/rc/clk?jk=19ba100a034d96f8&fccid=b07ed5ce0b8129ea&vjs=3
32,Desarrollador (a) Oracle SAS,Beyserin,"Colonia Santa Fe, CDMX",None,10,2020-11-22,"""Empresa de origen mexicano con presencia en México y Colombia de servicios integrales de Consultoría TI, de Negocios y Staffing"" *.",https://mx.indeed.com/company/Beyserin/jobs/Desarrollador-oracle-SAS-1262529132c408e1?fccid=660225f9276bb3f9&vjs=3
33,Staff Software Engineer - Data Engineering,Credijusto,Ciudad de México,None,+30,2020-11-22,"Prior, proven data platform or data infrastructure experience. We’re looking for data engineers who are excited to collaborate with data scientists, analysts,…",https://mx.indeed.com/rc/clk?jk=0a09decdcdc9304a&fccid=759d34c0be9113fd&vjs=3
34,Analista Data Scientist,Py AR,"San Antonio de Padua, Tamps.",None,+30,2020-11-22,"Huenei busca sumar a su equipo Analista Data Scientist para innovadores Proyectos Internacionales, con manejo de big data, base de datos no relacionales y uso…",https://mx.indeed.com/rc/clk?jk=8e495ed91d13f197&fccid=3f07a935dc8a14b0&vjs=3
35,Lead Data Engineer,LUUNA,"Miguel Hidalgo, CDMX","$70,000 - $80,000 al mes",20,2020-11-22,"You will lead a team of data/backend engineers, data scientists and business intelligence analysts from a technical standpoint. Your main tasks will be:",https://mx.indeed.com/company/Luuna/jobs/Lead-data-engineer-7e516a6c19eeb1e1?fccid=2bc48c439a84746f&vjs=3
36,Data Scientist/Predictive Sales,HP,"Guadalajara, Jal.",None,+30,2020-11-22,You are passionate about unveiling answers to most difficult questions using data and models. At least 3 years’ working experience in data science using…,https://mx.indeed.com/rc/clk?jk=b50f09509defd33b&fccid=1b866506aec22461&vjs=3
37,Head of Customer Management Credit Analytics,Konfio,"Colonia Polanco, CDMX",None,9,2020-11-22,Experience in working with data scientists in creating underwriting models. Create a testing agenda to collect data to inform future strategy.,https://mx.indeed.com/rc/clk?jk=7d887c8abe5bb339&fccid=026893d6a31257b7&vjs=3
38,Staff Software Engineer - Data Engineering - Europe,Credijusto,Ciudad de México,None,+30,2020-11-22,"Prior, proven data platform or data infrastructure experience. We're looking for data engineers who are excited to collaborate with data scientists, analysts,…",https://mx.indeed.com/rc/clk?jk=a2383c0b6ed5aaaf&fccid=759d34c0be9113fd&vjs=3
39,Reporting Cell Trainee,Thales Group,"Cuernavaca, Mor.",None,+30,2020-11-22,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,https://mx.indeed.com/rc/clk?jk=f0fa912960e212c8&fccid=b920aab5fd60595d&vjs=3
40,Machine Learning Engineer,Kinedu,"Monterrey, N. L.",None,+30,2020-11-22,"You will be working alongside data scientists, data analysts, product managers, back-end and front-end engineers. Experience with Hypothesis Testing projects.",https://mx.indeed.com/rc/clk?jk=09ecf513eed1ebf9&fccid=ff34fdb58b28e276&vjs=3
41,Customer Success Account Manager,Microsoft,Ciudad de México,None,19,2020-11-22,"Microsoft is on a mission to empower every person and every organization on the planet to achieve more. Our culture is centered on embracing a growth mindset, a…",https://mx.indeed.com/rc/clk?jk=006af4b0461e912f&fccid=734cb5a01ee60f80&vjs=3
42,Business Program Manager,Microsoft,Ciudad de México,None,11,2020-11-22,"Handles sensitive data while adhering to strict security and privacy rules. Meticulous with an analytical mindset, enjoys analyzing and interpreting data.",https://mx.indeed.com/rc/clk?jk=2ff71e5e8dc1fac1&fccid=734cb5a01ee60f80&vjs=3
